"ncbi_gene_id","ensembl_gene_id"
"LOC100223308","ENSTGUG00000000782"
"DIP2C","ENSTGUG00000000783"
"CDON","ENSTGUG00000000784"
"RORB","ENSTGUG00000000785"
"GM2A","ENSTGUG00000000788"
"CHEK1","ENSTGUG00000000790"
"CCDC69","ENSTGUG00000000792"
"ANXA1","ENSTGUG00000000793"
"LOC100221377","ENSTGUG00000000794"
"TICAM1","ENSTGUG00000000795"
"DPP9","ENSTGUG00000000796"
"STT3A","ENSTGUG00000000797"
"MATN1","ENSTGUG00000000798"
"ANXA6","ENSTGUG00000000799"
"ALDH1A1","ENSTGUG00000000800"
"LAPTM5","ENSTGUG00000000801"
"LOC100226165","ENSTGUG00000000802"
"MYDGF","ENSTGUG00000000803"
"EI24","ENSTGUG00000000804"
"HDGFL2","ENSTGUG00000000805"
"TMC1","ENSTGUG00000000808"
"NKAIN1","ENSTGUG00000000810"
"LARP4B","ENSTGUG00000000811"
"LOC100190336","ENSTGUG00000000812"
"UBXN6","ENSTGUG00000000813"
"FOXRED1","ENSTGUG00000000814"
"SRPRA","ENSTGUG00000000815"
"ZCCHC17","ENSTGUG00000000817"
"TNIP1","ENSTGUG00000000818"
"CHAF1A","ENSTGUG00000000819"
"GTPBP4","ENSTGUG00000000820"
"GNG7","ENSTGUG00000000825"
"LOC115490592","ENSTGUG00000000826"
"FAM118B","ENSTGUG00000000827"
"SGTA","ENSTGUG00000000829"
"GDA","ENSTGUG00000000830"
"CTPS1","ENSTGUG00000000831"
"TIRAP","ENSTGUG00000000832"
"DCPS","ENSTGUG00000000833"
"CZH9orf85","ENSTGUG00000000835"
"ABHD17B","ENSTGUG00000000836"
"WDR37","ENSTGUG00000000838"
"THOP1","ENSTGUG00000000839"
"ST3GAL4","ENSTGUG00000000840"
"CEMIP2","ENSTGUG00000000841"
"GPX3","ENSTGUG00000000842"
"CITED4","ENSTGUG00000000843"
"STX12","ENSTGUG00000000844"
"DCTN4","ENSTGUG00000000845"
"STRIP1","ENSTGUG00000000846"
"KIRREL3","ENSTGUG00000000847"
"ADARB2","ENSTGUG00000000848"
"PCSK4","ENSTGUG00000000849"
"RBM22","ENSTGUG00000000850"
"PPP1R8","ENSTGUG00000000851"
"PFKP","ENSTGUG00000000852"
"TRPM3","ENSTGUG00000000853"
"SMPDL3B","ENSTGUG00000000856"
"APC2","ENSTGUG00000000859"
"MYOZ3","ENSTGUG00000000861"
"LOC100225946","ENSTGUG00000000863"
"SYNPO","ENSTGUG00000000864"
"RPS15","ENSTGUG00000000865"
"RPA2","ENSTGUG00000000866"
"TCOF1","ENSTGUG00000000867"
"DAZAP1","ENSTGUG00000000869"
"XKR8","ENSTGUG00000000870"
"NDST1","ENSTGUG00000000871"
"EYA3","ENSTGUG00000000872"
"GAMT","ENSTGUG00000000873"
"NDUFS7","ENSTGUG00000000874"
"SLC6A17","ENSTGUG00000000875"
"PWWP3A","ENSTGUG00000000876"
"EFNA2","ENSTGUG00000000877"
"LOC100220416","ENSTGUG00000000878"
"HNRNPR","ENSTGUG00000000880"
"SMC5","ENSTGUG00000000881"
"CD74","ENSTGUG00000000882"
"KCNC4","ENSTGUG00000000883"
"CIRBP","ENSTGUG00000000884"
"ARSI","ENSTGUG00000000885"
"CAMK2A","ENSTGUG00000000887"
"MAMDC2","ENSTGUG00000000888"
"PITRM1","ENSTGUG00000000889"
"DNAJC8","ENSTGUG00000000890"
"SLC16A4","ENSTGUG00000000891"
"FAM174A","ENSTGUG00000000892"
"MIDN","ENSTGUG00000000893"
"ST8SIA4","ENSTGUG00000000894"
"ATP5F1D","ENSTGUG00000000895"
"CBARP","ENSTGUG00000000896"
"STK11","ENSTGUG00000000898"
"ATP5IF1","ENSTGUG00000000899"
"PAM","ENSTGUG00000000903"
"ID3","ENSTGUG00000000904"
"SBNO2","ENSTGUG00000000905"
"KLF6","ENSTGUG00000000906"
"E2F2","ENSTGUG00000000907"
"LOC115498565","ENSTGUG00000000908"
"PNPLA1","ENSTGUG00000000909"
"FZD8","ENSTGUG00000000910"
"ASAP3","ENSTGUG00000000911"
"GJD4","ENSTGUG00000000912"
"CCNY","ENSTGUG00000000913"
"ETV7","ENSTGUG00000000916"
"SLC6A7","ENSTGUG00000000917"
"KCTD20","ENSTGUG00000000921"
"POLR2E","ENSTGUG00000000922"
"ARHGAP45","ENSTGUG00000000923"
"CUL2","ENSTGUG00000000924"
"STK38","ENSTGUG00000000925"
"GIN1","ENSTGUG00000000926"
"CNN2","ENSTGUG00000000929"
"TCEA3","ENSTGUG00000000930"
"PPIP5K2","ENSTGUG00000000931"
"PARD3","ENSTGUG00000000932"
"C26H6orf89","ENSTGUG00000000933"
"OPRD1","ENSTGUG00000000934"
"YJU2","ENSTGUG00000000935"
"LOC105758871","ENSTGUG00000000936"
"LOC115498583","ENSTGUG00000000937"
"HNRNPM","ENSTGUG00000000938"
