Targets	N.A	HumanOrtho	HumanTAAS	HumanTAAS.HumanOrtho	HumanOrtho_inTAASc	HumanTAAS_inTAASc	HumanTAAS.HumanOrtho_inTAASc	Types					
0.GEOFO,MERNU,PICPU,CHLUN,TAUER,CUCCA	1	1	1	100	0	0	0	4_Random_controls					
0.GEOFO,PELCR,EGRGA,NIPNI,CHLUN,TAUER	0	0	0	0	0	0	0	4_Random_controls					
0.GEOFO,PELCR,EGRGA,NIPNI,PHACA,FULGL	1	1	1	100	0	0	0	4_Random_controls					
0.GEOFO,PELCR,EGRGA,NIPNI,PHACA,GAVST	0	0	0	0	0	0	0	4_Random_controls					
0.GEOFO,PELCR,EGRGA,NIPNI,PHACA,MESUN	1	1	1	100	0	0	0	4_Random_controls					
0.GEOFO,PELCR,EGRGA,NIPNI,PHACA,PHALE	1	1	1	100	0	0	0	4_Random_controls					
0.GEOFO,PELCR,EGRGA,NIPNI,PHALE,EURHE	1	1	1	100	0	0	0	4_Random_controls					
0.GEOFO,PHALE,EURHE,CALAN,CHAPE,CAPCA	2	1	1	100	0	0	0	4_Random_controls					
0.GEOFO,PICPU,PELCR,EGRGA,NIPNI,PHACA	2	2	2	100	0	0	0	4_Random_controls					
0.GEOFO,PYGAD,APTFO,CALAN,CHAPE,CAPCA	0	0	0	0	0	0	0	4_Random_controls					
0.GEOFO,PYGAD,APTFO,CHLUN,TAUER,CUCCA	0	0	0	0	0	0	0	4_Random_controls					
0.GEOFO,PYGAD,APTFO,GALGA,MELGA,ANAPL	13	11	10	90.90909	1	1	100	4_Random_controls					
0.HALAL,CHAVO,BALRE,CALAN,CHAPE,CAPCA	0	0	0	0	0	0	0	4_Random_controls					
0.HALAL,CHLUN,TAUER,CUCCA,GALGA,MELGA	0	0	0	0	0	0	0	4_Random_controls					
